Nombre,Paquete de Ventas,Caracteristicas
"ASUS ROG Strix G15 Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 3050) G513RC-HN083W Gaming Laptop  (15.6 Inch, Eclipse Gray, 2.10 Kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Eclipse Gray,Gaming Laptop,Gaming,AMD,Ryzen 7 Octa Core,16 GB,DDR5,Windows 11 Home"
"Infinix X1 Series Core i7 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/128 MB Graphics) XL12 Thin and Light Laptop  (14 Inch, Noble Red, 1.48 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Noble Red,Thin and Light Laptop,Everyday Use, Processing & Multitasking,Intel,Core i7,16 GB,LPDDR4X,Windows 11 Home"
"ASUS ROG Strix SCAR 15 (2022) Core i9 12th Gen - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G533ZW-LN106WS Gaming Laptop  (15.6 inch, Off Black, 2.30 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Off Black,Gaming Laptop,Gaming,Intel,Core i9,32 GB,DDR5,Windows 11 Home"
"ASUS Ryzen 9 Octa Core 5900HX - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics) M7400QC-KM053WS Thin and Light Laptop  (14 inch, Black, 1.45 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Black,Thin and Light Laptop,Processing & Multitasking,AMD,Ryzen 9 Octa Core,16 GB,DDR4,Windows 11 Home"
"ASUS Ryzen 9 Octa Core 5900HX - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) M7400QE-KM046WS Gaming Laptop  (14 inch, Black, 1.45 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Black,Gaming Laptop,Gaming,AMD,Ryzen 9 Octa Core,8 GB,DDR4,Windows 11 Home"
"ASUS Vivobook Pro Ryzen 9 Octa Core 5900HX - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/90 Hz) M7400QE-KM046TS Gaming Laptop  (14 Inch, Black, 1.45 kg, With MS Office)","Laptop, Battery, AC Adapter","Black,Gaming Laptop,Processing & Multitasking,AMD,Ryzen 9 Octa Core,8 GB,DDR4,Windows 10 Home"
"ASUS Vivobook Ryzen 9 Octa Core 5900HX - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics) M7600QC-L2044WS Laptop  (16 inch, Black, 1.95 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Black,Laptop,Processing & Multitasking,AMD,Ryzen 9 Octa Core,16 GB,DDR4,Windows 11 Home"
"ASUS ZenBook Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX325EA-KG511WS Thin and Light Laptop  (13.3 Inch, Lilac Mist, 1.14 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Lilac Mist,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,LPDDR4X,Windows 11 Home"
"ASUS Zenbook 14 Flip Ryzen 9 Octa Core 5900HX - (16 GB/1 TB SSD/Windows 11 Home) UN5401QA-KN901WS Thin and Light Laptop  (14 Inch, Jade Black, 1.40 Kg, With MS Office)","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents","Jade Black,Thin and Light Laptop,Processing & Multitasking,AMD,Ryzen 9 Octa Core,16 GB,LPDDR4X,Windows 11 Home"
"ASUS VivoBook 14 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X415EA-EB572WS Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"ASUS ZenBook Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home) UX325EA-KG701WS Thin and Light Laptop  (13.3 Inch, Lilac Mist, 1.14 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Lilac Mist,Thin and Light Laptop,Processing & Multitasking,Intel,Core i7,16 GB,LPDDR4X,Windows 11 Home"
"DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop  (15.6 Inch, Black, 1.8 Kgs, With MS Office)","Laptop, battery, adapter, cables and user manuals","Black,Thin and Light Laptop,Everyday Use,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"ASUS ZenBook Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) UX325EA-KG502WS Thin and Light Laptop  (13.3 Inch, Pine Grey, 1.14 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pine Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,8 GB,LPDDR4X,Windows 11 Home"
"ASUS VivoBook Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X415EA-EK342WS Thin and Light Laptop  (14 Inch, Transparent Silver, 1.60 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/Windows 10 Home) Inspiron 3515 Thin and Light Laptop  (15.6 inch, Platinum Silver, 1.8 kg kg, With MS Office)","Laptop, Battery, Adapter, Cables and User Manuals","Platinum Silver,Thin and Light Laptop,Everyday Use,AMD,Ryzen 3 Dual Core,8 GB,DDR4,Windows 10 Home"
"HP Pentium Quad Core - (8 GB/256 GB SSD/Windows 11 Home) 14s-dq3033tu Thin and Light Laptop  (14 inch, Jet Black, 1.46 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Jet Black,Thin and Light Laptop,Everyday Use, Processing & Multitasking,Intel,Pentium Quad Core,8 GB,DDR4,Windows 11 Home"
"ASUS ZenBook Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX325EA-KG512WS Thin and Light Laptop  (13.3 Inch, Pine Grey, 1.14 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pine Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,LPDDR4,Windows 11 Home"
"ASUS ZenBook Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX325EA-KG722WS Thin and Light Laptop  (13.3 Inch, Pine Grey, 1.14 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pine Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i7,16 GB,LPDDR4X,Windows 11 Home"
"ASUS Zenbook 14 Flip Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home) UN5401QA-KN701WS Thin and Light Laptop  (14 Inch, Jade Black, 1.40 Kg, With MS Office)","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents","Jade Black,Thin and Light Laptop,Processing & Multitasking,AMD,Ryzen 7 Octa Core,16 GB,LPDDR4X,Windows 11 Home"
"DELL Vostro Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Vostro 3400 Thin and Light Laptop  (14 Inch, Dune, 1.59 Kgs, With MS Office)","Laptop, battery, adapter, cables and user manuals","Dune,Thin and Light Laptop,Everyday Use,Intel,Core i3,8 GB,DDR4,Windows 10 Home"
"HP Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX Nvidia) Victus 16-e0075AX Gaming Laptop  (16.1 inch, Black, With MS Office)","Laptop, Adapter","Black,Gaming Laptop,Gaming,AMD,Ryzen 5 Hexa Core,8 GB,DDR4,Windows 10 Home"
"acer Extensa 15 Pentium Quad Core - (4 GB/1 TB HDD/Windows 11 Home) EX215-31 Laptop  (15.6 inch, Black, 1.9 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Black,Laptop,Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business,Intel,Pentium Quad Core,4 GB,DDR4,Windows 11 Home"
"acer Extensa 15 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 11 Home) EX215-54 Thin and Light Laptop  (15.6 inch, Charcoal Black, 1.7 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Charcoal Black,Thin and Light Laptop,Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business,Intel,Core i3,4 GB,DDR4,Windows 11 Home"
"acer Aspire 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A315-58 Notebook  (15.6 Inch, Pure Silver, 1.7 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pure Silver,Notebook,Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) Victus 16-d0003TX Laptop  (16.1 inch, Black, Blue)","Laptop, Adapter","Black, Blue,Laptop,Gaming,Intel,Core i5,8 GB,DDR4,Windows 10 Home"
"acer Aspire 3 Core i5 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) A315-58 Notebook  (15.6 Inch, Pure Silver, 1.7 Kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pure Silver,Notebook,Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"acer Aspire 3 Dual Core 3020e - (4 GB/256 GB SSD/Windows 11 Home) A314-22 Laptop  (14 Inch, Charcoal Black, 1.9 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Charcoal Black,Laptop,Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business,AMD,Dual Core,4 GB,DDR4,Windows 11 Home"
"Lenovo IdeaPad Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad 5 15ITL05 Thin and Light Laptop  (15.6 Inch, Graphite Grey, 1.66 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Graphite Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"Lenovo IdeaPad Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Platinum Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"Lenovo IdeaPad Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 1.7 kg kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Platinum Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"Lenovo IdeaPad Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14ITL6 Thin and Light Laptop  (14 Inch, Arctic Grey, Dual Array Microphone kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"ASUS Vivobook Ultra K14 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) K14 Thin and Light Laptop  (14.1 inch, Transparent Silver, 1.4 kg, With MS Office)","Laptop, Adaptor & Manual","Transparent Silver,Thin and Light Laptop,Travel & Business, Processing & Multitasking, Performance, Everyday Use, Entertainment,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"ASUS Vivobook 15 Celeron Dual Core - (4 GB/1 TB HDD/Windows 11 Home) X515MA-BR001WX515MA Laptop  (15.6 inch, Transparent Silver, 1.8 kg)","Laptop, Adaptor & Manual","Transparent Silver,Laptop,Everyday Use,Intel,Celeron Dual Core,4 GB,DDR4,Windows 11 Home"
"Lenovo Ideapad 5 Ryzen 7 Octa Core 5800U - (16 GB/1 TB SSD/Windows 11 Home) IdeaPad 5 Pro 14ACN6 Thin and Light Laptop  (14 inch, Storm Grey, 1.38 kg, With MS Office)","Laptop, Battery, Adapter, Cables and User Manuals","Storm Grey,Thin and Light Laptop,Processing & Multitasking,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Windows 11 Home"
"Lenovo IdeaPad 5 14ITL05 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL05 Laptop  (14 inch, Graphite Grey, With MS Office)","LAPTOP, ADAPTER, USER MANUAL","Graphite Grey,Laptop,Performance, Entertainment, Everyday Use, Processing & Multitasking, Travel & Business,Intel,Core i5,8 GB,DDR4,Windows 10 Home"
"MSI Katana GF66 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) Katana GF66 11UC-478IN Gaming Laptop  (15.6 inches, Black, 2.25 kg)","Laptop, Battery, Power Adapter, User Guide","Black,Gaming Laptop,Processing & Multitasking, Gaming,Intel,Core i5,8 GB,DDR4,Windows 10 Home"
"MSI Modern 14 Ryzen 5 Hexa Core Ryzen 5 5500U 5th Gen - (8 GB/256 GB SSD/Windows 10 Home) Modern 14 B5M Thin and Light Laptop  (14 inch, Carbon Gray, 1.3 kg)","Laptop, Manual, Adapter","Carbon Gray,Thin and Light Laptop,Processing & Multitasking, Travel & Business,AMD,Ryzen 5 Hexa Core,8 GB,DDR4,Windows 10 Home"
"HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15s-fq2626TU Thin and Light Laptop  (15.6 inch, Jet Black, 1.69 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Jet Black,Thin and Light Laptop,Everyday Use, Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"DELL Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/165 Hz) G15-5515 Gaming Laptop  (15.6 inch, Phantom Grey with speckles, 2.57 Kg, With MS Office)","Laptop, Battery, Adapter, Cables and User Manuals","Phantom Grey with speckles,Gaming Laptop,Gaming,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Windows 11 Home"
"DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/120 Hz) G15-5511 Gaming Laptop  (15.6 inch, Dark Shadow Grey, 2.65 Kg, With MS Office)","Laptop, Battery, Adapter, Cables and User Manuals","Dark Shadow Grey,Gaming Laptop,Gaming,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) G15-5511 Gaming Laptop  (15.6 inch, Dark Shadow Grey, 2.65 Kg, With MS Office)","Laptop, Battery, Adapter, Cables and User Manuals","Dark Shadow Grey,Gaming Laptop,Gaming,Intel,Core i7,16 GB,DDR4,Windows 11 Home"
"MSI Katana GF66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti/144 Hz) GF66 11UD- 476IN Gaming Laptop  (15.6 inches, Black, 2.25 kg)","Laptop, Battery, Power Adapter, User Guide","Black,Gaming Laptop,Processing & Multitasking, Gaming,Intel,Core i7,16 GB,DDR4,Windows 10 Home"
"DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) G15-5511 Gaming Laptop  (15.6 inch, Dark Shadow Grey, 2.4 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Dark Shadow Grey,Gaming Laptop,Gaming,Intel,Core i7,16 GB,DDR4,Windows 11 Home"
"MSI Modern 15 Ryzen 7 Octa Core Ryzen 7 5700U 5th Gen - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 A5M Thin and Light Laptop  (15.6 inch, Carbon Gray, 1.6 kg)","Laptop, battery, power adapter, user guide, backlit keyboard","Carbon Gray,Thin and Light Laptop,Processing & Multitasking,AMD,Ryzen 7 Octa Core,8 GB,DDR4,Windows 11 Home"
"HP 15s Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) FR2508TU Thin and Light Laptop  (15.6 inch, Silver, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Silver,Thin and Light Laptop,Everyday Use,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq4022TU Thin and Light Laptop  (15.6 Inch, Jet Black, 1.69 Kg, With MS Office)","Laptop, Power Adapter, User Guide, Warranty Documents","Jet Black,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) FQ4022TU Thin and Light Laptop  (15.6 inch, Black, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Black,Thin and Light Laptop,Performance,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) A515-56 Notebook  (15.6 Inch, Pure Silver, 1.65 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pure Silver,Notebook,Processing & Multitasking,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"acer Aspire 3 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) A315-23 Laptop  (15.6 inch, Pure Silver, 1.9 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pure Silver,Laptop,Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business,AMD,Ryzen 3 Dual Core,8 GB,DDR4,Windows 11 Home"
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-FR2508TU Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Natural Silver,Laptop,Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"acer Aspire 3 Ryzen 3 Dual Core R33250U - (4 GB/512 GB SSD/Windows 11 Home) A315-23 Notebook  (15.6 Inch, Pure Silver, 1.9 kg)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pure Silver,Notebook,Processing & Multitasking,AMD,Ryzen 3 Dual Core,4 GB,DDR4,Windows 11 Home"
"ASUS VivoBook Ultra 14 (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X413EA-EB321WS Thin and Light Laptop  (14 inch, Cobalt Blue, 1.40 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Cobalt Blue,Thin and Light Laptop,Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"ASUS Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX363EA-HP562WS Thin and Light Laptop  (13.3 Inch, Pine Grey, 1.30 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pine Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,LPDDR4X,Windows 11 Home"
"Lenovo Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) Ideapad 3 15IML05 Laptop  (15.6 inch, Platinum Grey, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Platinum Grey,Laptop,Everyday Use,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"ASUS Zenbook 14 Flip Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home) UN5401QA-KN511WS Thin and Light Laptop  (14 Inch, Jade Black, 1.40 Kg, With MS Office)","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents","Jade Black,Thin and Light Laptop,Processing & Multitasking,AMD,Ryzen 5 Hexa Core,16 GB,LPDDR4X,Windows 11 Home"
"ASUS VivoBook Ultra 14 (2021) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X413EA-EB323WS Thin and Light Laptop  (14 inch, Dreamy White, 1.40 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Dreamy White,Thin and Light Laptop,Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"ASUS ASUS Vivobook 13 Slate OLED Pentium Quad Core - (4 GB/128 GB EMMC Storage/Windows 11 Home) T3300KA-LQ122WS 2 in 1 Laptop  (13.3 inch, Black, 0.78 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Black,2 in 1 Laptop,Processing & Multitasking,Intel,Pentium Quad Core,4 GB,LPDDR4X,Windows 11 Home"
"ASUS ASUS Vivobook 13 Slate OLED Pentium Quad Core - (8 GB/256 GB SSD/Windows 11 Home) T3300KA-LQ111WS 2 in 1 Laptop  (13.3 Inch, Black, 0.78 kg, With MS Office)","Laptop, Power Adaptor, Sleeve, Stand, Stylus, Stylus holder, User Guide, Warranty Documents","Black,2 in 1 Laptop,Processing & Multitasking,Intel,Pentium Quad Core,8 GB,LPDDR4X,Windows 11 Home"
"ASUS Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX363EA-HP702WS Thin and Light Laptop  (13.3 Inch, Pine Grey, 1.30 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pine Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i7,16 GB,LPDDR4X,Windows 11 Home"
"ASUS ZenBook Duo 14 (2021) Touch Panel Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/2 GB Graphics) UX482EGR-KA711WS Thin and Light Laptop  (14 inch, Celestial Blue, 1.62 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Celestial Blue,Thin and Light Laptop,Processing & Multitasking,Intel,Core i7,16 GB,LPDDR4X,Windows 11 Home"
"ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) UX482EA-KA501WS Thin and Light Laptop  (14 inch, Celestial Blue, 1.62 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Celestial Blue,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,8 GB,LPDDR4X,Windows 11 Home"
"ASUS VivoBook Ultra 14 (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X413EA-EB321WS Thin and Light Laptop  (14 inch, Cobalt Blue, 1.40 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Cobalt Blue,Thin and Light Laptop,Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"ASUS Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX363EA-HP562WS Thin and Light Laptop  (13.3 Inch, Pine Grey, 1.30 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Pine Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,LPDDR4X,Windows 11 Home"
"ASUS VivoBook Ultra 14 (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X413EA-EB322WS Thin and Light Laptop  (14 inch, Bespoke Black, 1.40 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Bespoke Black,Thin and Light Laptop,Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"ASUS VivoBook 14 Pentium Silver - (4 GB/256 GB SSD/Windows 11 Home) X415KA-EK111WS Thin and Light Laptop  (14 Inch, Transparent Silver, 1.50 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Intel,Pentium Silver,4 GB,DDR4,Windows 11 Home"
"ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) UX482EGR-KA521WS Thin and Light Laptop  (14 inch, Celestial Blue, 1.62 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Celestial Blue,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,16 GB,LPDDR4X,Windows 11 Home"
"ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) UX482EAR-KA501WS Thin and Light Laptop  (14 inch, Celestial Blue, 1.62 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Celestial Blue,Thin and Light Laptop,Processing & Multitasking,Intel,Core i5,8 GB,LPDDR4X,Windows 11 Home"
"DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 3511 Thin and Light Laptop  (15.6 inch, Platinum Silver, 1.8 kg, With MS Office)","Laptop, Battery, Adapter, Cables and User Manuals","Platinum Silver,Thin and Light Laptop,Everyday Use,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"DELL Core i5 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) 5510 D560638WIN9B Laptop  (15.6 inch, Dark Shadow Grey, With MS Office)","User Manual, Laptop, Charger, Adapter, Warranty Card","Dark Shadow Grey,Laptop,Processing & Multitasking,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"Lenovo Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14ITL6 Laptop  (14 inch, Storm Grey, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Storm Grey,Laptop,Processing & Multitasking,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"HP Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 11 Home) EQ2144AU Laptop  (15.6 inch, Natural Silver, With MS Office)","LAPTOP, ADAPTER, POWER CORD, USER MAUAL","Natural Silver,Laptop,Everyday Use,AMD,Ryzen 5 Hexa Core,8 GB,DDR4,Windows 11 Home"
"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Natural Silver,Thin and Light Laptop,Everyday Use, Processing & Multitasking,AMD,Ryzen 5 Hexa Core,8 GB,DDR4,Windows 11 Home"
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 KG, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Natural Silver,Thin and Light Laptop,Everyday Use, Processing & Multitasking,Intel,Core i3,8 GB,DDR4,Windows 11 Home"
"Lenovo Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Laptop  (15.6 inch, Arctic Grey, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Arctic Grey,Laptop,Processing & Multitasking,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"ASUS Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) GA401QH-HZ080TS Thin and Light Laptop  (14 inch, Moonlight White, 1.60 Kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Moonlight White,Thin and Light Laptop,Processing & Multitasking,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Windows 10 Home"
