Interests,Accessibility,Site Name,Sites Visited,Age_Group,Tour_Duration_Pref,Rating_Category,Response_Speed,Accuracy_Level,VR_Quality,Satisfaction_Level
"Nature, Architecture, Art",False,Eiffel Tower,Colosseum,56+,Corta(1-4h),Medio,Lento,Alta,Excelente,Media
"Cultural, Art",False,Great Wall of China,"Machu Picchu, Colosseum, Great Wall of China",46-55,Corta(1-4h),Bajo,Normal,Media,Excelente,Media
History,True,Eiffel Tower,Eiffel Tower,56+,Corta(1-4h),Alto,Rápido,Media,Buena,Alta
"Cultural, Art",False,Taj Mahal,Great Wall of China,56+,Media(5-7h),Bajo,Lento,Media,Regular,Media
"Architecture, Art",True,Taj Mahal,"Colosseum, Eiffel Tower, Machu Picchu",46-55,Larga(8-10h),Alto,Lento,Media,Excelente,Alta
"History, Nature",False,Taj Mahal,"Machu Picchu, Colosseum",36-45,Corta(1-4h),Bajo,Lento,Media,Buena,Media
Cultural,False,Eiffel Tower,Taj Mahal,46-55,Media(5-7h),Alto,Lento,Alta,Buena,Alta
Cultural,True,Eiffel Tower,"Machu Picchu, Great Wall of China",46-55,Larga(8-10h),Bajo,Rápido,Media,Buena,Media
Nature,True,Colosseum,"Colosseum, Great Wall of China",18-25,Media(5-7h),Bajo,Normal,Media,Excelente,Media
Architecture,True,Colosseum,"Machu Picchu, Great Wall of China, Colosseum",46-55,Corta(1-4h),Bajo,Lento,Media,Buena,Media
"Cultural, Art, History",False,Eiffel Tower,"Eiffel Tower, Machu Picchu, Colosseum",36-45,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"History, Art, Architecture",False,Eiffel Tower,"Machu Picchu, Colosseum",56+,Corta(1-4h),Alto,Rápido,Alta,Excelente,Alta
Art,False,Colosseum,"Taj Mahal, Great Wall of China",46-55,Larga(8-10h),Medio,Rápido,Media,Excelente,Media
"Nature, Architecture",True,Machu Picchu,"Eiffel Tower, Machu Picchu, Colosseum",56+,Media(5-7h),Alto,Lento,Alta,Buena,Alta
History,True,Machu Picchu,"Taj Mahal, Great Wall of China, Eiffel Tower",26-35,Corta(1-4h),Medio,Lento,Media,Buena,Media
"Art, Architecture",False,Great Wall of China,"Machu Picchu, Eiffel Tower",36-45,Corta(1-4h),Bajo,Lento,Media,Excelente,Media
"History, Art, Nature",True,Great Wall of China,"Machu Picchu, Eiffel Tower",36-45,Corta(1-4h),Medio,Lento,Media,Buena,Media
History,True,Eiffel Tower,Eiffel Tower,36-45,Media(5-7h),Medio,Lento,Alta,Excelente,Media
"Nature, Cultural",True,Machu Picchu,"Eiffel Tower, Colosseum, Taj Mahal",18-25,Corta(1-4h),Medio,Lento,Media,Buena,Media
"Cultural, History",False,Eiffel Tower,"Taj Mahal, Machu Picchu",56+,Larga(8-10h),Bajo,Lento,Media,Excelente,Media
History,True,Taj Mahal,"Eiffel Tower, Taj Mahal",46-55,Media(5-7h),Alto,Lento,Alta,Excelente,Alta
"Nature, Architecture",True,Taj Mahal,Machu Picchu,46-55,Larga(8-10h),Bajo,Normal,Media,Buena,Media
"Architecture, History",True,Taj Mahal,"Colosseum, Great Wall of China",36-45,Media(5-7h),Bajo,Lento,Alta,Buena,Media
History,False,Machu Picchu,"Machu Picchu, Great Wall of China",56+,Corta(1-4h),Bajo,Rápido,Media,Buena,Media
"Architecture, Art, Cultural",True,Taj Mahal,Great Wall of China,26-35,Corta(1-4h),Medio,Rápido,Alta,Excelente,Media
"History, Cultural",True,Taj Mahal,"Taj Mahal, Colosseum",18-25,Larga(8-10h),Medio,Lento,Media,Excelente,Media
"History, Cultural",False,Colosseum,Great Wall of China,56+,Media(5-7h),Bajo,Lento,Alta,Excelente,Media
Architecture,True,Colosseum,"Colosseum, Taj Mahal",18-25,Media(5-7h),Alto,Lento,Alta,Excelente,Alta
Art,True,Great Wall of China,Great Wall of China,26-35,Corta(1-4h),Bajo,Normal,Media,Buena,Media
Architecture,True,Great Wall of China,Taj Mahal,26-35,Corta(1-4h),Medio,Normal,Media,Excelente,Media
"Art, Cultural, Nature",True,Great Wall of China,"Taj Mahal, Great Wall of China",46-55,Media(5-7h),Medio,Rápido,Alta,Excelente,Media
"Art, Architecture",False,Great Wall of China,"Machu Picchu, Taj Mahal, Colosseum",56+,Corta(1-4h),Alto,Lento,Alta,Excelente,Alta
"Architecture, Nature, Art",False,Great Wall of China,Eiffel Tower,46-55,Media(5-7h),Bajo,Lento,Baja,Buena,Media
"Art, Cultural",False,Colosseum,"Machu Picchu, Eiffel Tower, Taj Mahal",56+,Corta(1-4h),Alto,Normal,Media,Excelente,Alta
Architecture,False,Colosseum,"Eiffel Tower, Machu Picchu, Colosseum",18-25,Corta(1-4h),Bajo,Rápido,Alta,Buena,Media
"History, Nature, Art",True,Great Wall of China,"Eiffel Tower, Machu Picchu, Colosseum",56+,Corta(1-4h),Alto,Rápido,Media,Buena,Alta
"Nature, History, Architecture",False,Machu Picchu,"Great Wall of China, Colosseum, Machu Picchu",46-55,Media(5-7h),Alto,Normal,Baja,Buena,Alta
"Architecture, Cultural, Nature",False,Colosseum,"Great Wall of China, Taj Mahal, Machu Picchu",36-45,Larga(8-10h),Medio,Lento,Alta,Buena,Media
"Nature, History",False,Great Wall of China,"Great Wall of China, Machu Picchu",36-45,Media(5-7h),Medio,Lento,Alta,Regular,Media
"History, Cultural",True,Taj Mahal,"Great Wall of China, Colosseum, Machu Picchu",46-55,Media(5-7h),Alto,Rápido,Media,Buena,Alta
Art,False,Machu Picchu,"Great Wall of China, Eiffel Tower",18-25,Media(5-7h),Alto,Rápido,Alta,Buena,Alta
Nature,False,Colosseum,"Great Wall of China, Taj Mahal, Colosseum",18-25,Corta(1-4h),Alto,Normal,Alta,Excelente,Alta
"Art, History",False,Colosseum,Colosseum,18-25,Media(5-7h),Medio,Lento,Media,Buena,Media
Art,False,Eiffel Tower,"Taj Mahal, Great Wall of China, Colosseum",26-35,Media(5-7h),Alto,Lento,Alta,Buena,Alta
"Architecture, History, Cultural",True,Colosseum,"Taj Mahal, Colosseum",36-45,Media(5-7h),Bajo,Lento,Media,Buena,Media
"Cultural, Nature, History",False,Machu Picchu,"Machu Picchu, Colosseum, Eiffel Tower",26-35,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Architecture, Nature, Cultural",False,Great Wall of China,Eiffel Tower,36-45,Media(5-7h),Bajo,Normal,Media,Excelente,Media
"Cultural, History, Nature",True,Great Wall of China,"Colosseum, Taj Mahal, Eiffel Tower",46-55,Media(5-7h),Medio,Normal,Media,Excelente,Media
History,False,Great Wall of China,"Great Wall of China, Colosseum, Machu Picchu",26-35,Larga(8-10h),Alto,Rápido,Baja,Buena,Alta
"Art, History, Architecture",False,Great Wall of China,"Eiffel Tower, Great Wall of China",36-45,Corta(1-4h),Bajo,Rápido,Baja,Buena,Media
"Art, Architecture, Cultural",False,Machu Picchu,Taj Mahal,26-35,Corta(1-4h),Bajo,Lento,Media,Excelente,Media
"Architecture, Art",False,Machu Picchu,Colosseum,46-55,Media(5-7h),Bajo,Rápido,Media,Buena,Media
"Architecture, Art, History",False,Great Wall of China,Colosseum,26-35,Media(5-7h),Medio,Rápido,Media,Buena,Media
"Nature, Architecture",True,Machu Picchu,Eiffel Tower,26-35,Corta(1-4h),Medio,Lento,Media,Buena,Media
"Nature, History",False,Colosseum,Great Wall of China,46-55,Media(5-7h),Alto,Normal,Media,Buena,Alta
"Architecture, Cultural, Art",False,Great Wall of China,"Machu Picchu, Colosseum, Eiffel Tower",56+,Corta(1-4h),Medio,Lento,Media,Excelente,Media
Cultural,False,Great Wall of China,Taj Mahal,46-55,Corta(1-4h),Bajo,Rápido,Media,Excelente,Media
"Nature, Cultural, Art",False,Great Wall of China,"Eiffel Tower, Colosseum",26-35,Corta(1-4h),Medio,Lento,Media,Excelente,Media
Nature,True,Eiffel Tower,"Great Wall of China, Eiffel Tower, Colosseum",36-45,Larga(8-10h),Medio,Normal,Media,Buena,Media
Nature,True,Colosseum,"Machu Picchu, Taj Mahal",46-55,Media(5-7h),Alto,Rápido,Media,Buena,Alta
"Architecture, Art, History",True,Eiffel Tower,"Colosseum, Machu Picchu, Taj Mahal",46-55,Media(5-7h),Bajo,Normal,Media,Excelente,Media
History,True,Colosseum,"Machu Picchu, Eiffel Tower",56+,Media(5-7h),Medio,Normal,Media,Excelente,Media
"Architecture, Nature",True,Machu Picchu,"Taj Mahal, Eiffel Tower, Great Wall of China",18-25,Media(5-7h),Alto,Normal,Media,Regular,Alta
Cultural,False,Machu Picchu,"Eiffel Tower, Great Wall of China, Colosseum",18-25,Media(5-7h),Alto,Lento,Alta,Excelente,Alta
"History, Nature, Architecture",False,Eiffel Tower,"Eiffel Tower, Machu Picchu",56+,Corta(1-4h),Bajo,Lento,Alta,Buena,Media
History,True,Great Wall of China,"Colosseum, Eiffel Tower, Machu Picchu",26-35,Corta(1-4h),Alto,Lento,Media,Regular,Alta
"Cultural, Architecture, Art",True,Taj Mahal,Machu Picchu,36-45,Media(5-7h),Alto,Normal,Media,Regular,Alta
"History, Nature",True,Taj Mahal,"Eiffel Tower, Taj Mahal",56+,Larga(8-10h),Bajo,Rápido,Media,Excelente,Media
Art,True,Taj Mahal,"Taj Mahal, Great Wall of China",26-35,Media(5-7h),Alto,Rápido,Media,Buena,Alta
"History, Cultural",True,Taj Mahal,"Machu Picchu, Eiffel Tower",36-45,Media(5-7h),Bajo,Normal,Media,Buena,Media
History,False,Eiffel Tower,"Great Wall of China, Taj Mahal",36-45,Larga(8-10h),Bajo,Rápido,Media,Excelente,Media
Architecture,True,Great Wall of China,"Colosseum, Machu Picchu",26-35,Corta(1-4h),Alto,Lento,Media,Regular,Alta
Art,False,Great Wall of China,Machu Picchu,26-35,Larga(8-10h),Alto,Lento,Alta,Excelente,Alta
"Nature, Cultural, Architecture",False,Taj Mahal,"Machu Picchu, Taj Mahal, Eiffel Tower",56+,Corta(1-4h),Alto,Lento,Alta,Buena,Alta
"Nature, Art",True,Machu Picchu,Great Wall of China,36-45,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Nature, Art",False,Taj Mahal,"Taj Mahal, Eiffel Tower",26-35,Corta(1-4h),Medio,Lento,Alta,Excelente,Media
"Nature, Cultural, Architecture",False,Colosseum,"Colosseum, Taj Mahal, Great Wall of China",18-25,Corta(1-4h),Alto,Lento,Media,Buena,Alta
"Nature, Art, History",False,Great Wall of China,Eiffel Tower,46-55,Corta(1-4h),Medio,Rápido,Media,Excelente,Media
Architecture,True,Eiffel Tower,Taj Mahal,26-35,Corta(1-4h),Alto,Lento,Media,Regular,Alta
"Nature, History",True,Taj Mahal,"Colosseum, Taj Mahal",36-45,Media(5-7h),Medio,Lento,Media,Buena,Media
"Art, Architecture, History",True,Eiffel Tower,"Great Wall of China, Taj Mahal",36-45,Media(5-7h),Medio,Lento,Alta,Buena,Media
"Art, Cultural, History",False,Great Wall of China,"Eiffel Tower, Colosseum",46-55,Corta(1-4h),Medio,Rápido,Alta,Buena,Media
"Art, Cultural, Nature",True,Great Wall of China,Taj Mahal,36-45,Media(5-7h),Medio,Lento,Alta,Excelente,Media
"Nature, History",True,Machu Picchu,Machu Picchu,26-35,Media(5-7h),Alto,Lento,Alta,Buena,Alta
"Architecture, Nature, Art",True,Great Wall of China,"Taj Mahal, Colosseum, Eiffel Tower",56+,Media(5-7h),Alto,Normal,Media,Buena,Alta
"Art, Nature, Architecture",False,Machu Picchu,"Great Wall of China, Eiffel Tower, Colosseum",36-45,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"History, Art",True,Taj Mahal,Machu Picchu,56+,Corta(1-4h),Alto,Normal,Media,Buena,Alta
Nature,True,Colosseum,"Eiffel Tower, Taj Mahal, Great Wall of China",46-55,Corta(1-4h),Bajo,Rápido,Baja,Excelente,Media
"Architecture, Art, History",True,Colosseum,Eiffel Tower,56+,Media(5-7h),Bajo,Rápido,Media,Buena,Media
Nature,False,Great Wall of China,"Eiffel Tower, Colosseum, Great Wall of China",18-25,Media(5-7h),Bajo,Lento,Alta,Buena,Media
"Nature, History",False,Machu Picchu,"Great Wall of China, Machu Picchu",36-45,Corta(1-4h),Bajo,Rápido,Alta,Excelente,Media
"Nature, Architecture, History",True,Colosseum,"Great Wall of China, Eiffel Tower",46-55,Larga(8-10h),Bajo,Lento,Alta,Buena,Media
"Nature, Architecture, Art",False,Eiffel Tower,"Machu Picchu, Great Wall of China, Taj Mahal",46-55,Corta(1-4h),Alto,Lento,Baja,Excelente,Alta
Architecture,True,Machu Picchu,"Machu Picchu, Taj Mahal",26-35,Corta(1-4h),Alto,Normal,Media,Buena,Alta
Cultural,False,Colosseum,Great Wall of China,26-35,Corta(1-4h),Bajo,Lento,Alta,Buena,Media
"Nature, Art",True,Eiffel Tower,Machu Picchu,26-35,Larga(8-10h),Medio,Normal,Media,Buena,Alta
"Art, Cultural, Architecture",False,Taj Mahal,Colosseum,26-35,Media(5-7h),Medio,Rápido,Media,Buena,Media
"Art, Cultural, Architecture",False,Eiffel Tower,"Taj Mahal, Great Wall of China, Machu Picchu",56+,Media(5-7h),Bajo,Lento,Media,Buena,Media
Cultural,False,Colosseum,"Eiffel Tower, Machu Picchu",46-55,Corta(1-4h),Alto,Rápido,Media,Excelente,Alta
Architecture,False,Great Wall of China,"Eiffel Tower, Great Wall of China",26-35,Corta(1-4h),Alto,Lento,Media,Buena,Alta
"History, Architecture, Art",False,Taj Mahal,Eiffel Tower,26-35,Media(5-7h),Medio,Normal,Baja,Buena,Media
Nature,True,Eiffel Tower,"Eiffel Tower, Great Wall of China, Taj Mahal",56+,Media(5-7h),Medio,Lento,Alta,Buena,Media
Cultural,False,Taj Mahal,Eiffel Tower,36-45,Corta(1-4h),Medio,Normal,Baja,Buena,Media
Cultural,False,Colosseum,"Colosseum, Taj Mahal",26-35,Corta(1-4h),Alto,Lento,Media,Buena,Alta
Art,False,Eiffel Tower,Colosseum,26-35,Media(5-7h),Alto,Normal,Media,Buena,Alta
Architecture,True,Eiffel Tower,"Colosseum, Machu Picchu",36-45,Larga(8-10h),Alto,Rápido,Media,Excelente,Alta
"Nature, Cultural",False,Great Wall of China,Eiffel Tower,46-55,Larga(8-10h),Bajo,Lento,Alta,Excelente,Media
"History, Nature",True,Taj Mahal,Eiffel Tower,26-35,Media(5-7h),Medio,Rápido,Alta,Excelente,Media
History,False,Colosseum,Great Wall of China,46-55,Media(5-7h),Alto,Lento,Baja,Regular,Alta
"Nature, Art, Cultural",True,Great Wall of China,"Colosseum, Great Wall of China, Machu Picchu",26-35,Media(5-7h),Medio,Rápido,Media,Excelente,Media
"Art, Architecture",False,Eiffel Tower,Colosseum,26-35,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Cultural, Art, History",True,Machu Picchu,Eiffel Tower,56+,Corta(1-4h),Medio,Lento,Alta,Excelente,Media
"Art, Nature, Cultural",True,Machu Picchu,"Great Wall of China, Machu Picchu, Colosseum",56+,Media(5-7h),Bajo,Lento,Media,Buena,Media
History,False,Eiffel Tower,Eiffel Tower,56+,Corta(1-4h),Bajo,Normal,Alta,Buena,Media
"Art, History",False,Eiffel Tower,Colosseum,56+,Media(5-7h),Medio,Normal,Alta,Buena,Media
Cultural,False,Great Wall of China,"Machu Picchu, Taj Mahal, Eiffel Tower",26-35,Larga(8-10h),Medio,Lento,Media,Excelente,Media
History,False,Great Wall of China,"Colosseum, Great Wall of China, Taj Mahal",18-25,Media(5-7h),Alto,Normal,Media,Buena,Alta
History,True,Great Wall of China,Great Wall of China,46-55,Corta(1-4h),Medio,Normal,Media,Buena,Media
"Nature, History",False,Machu Picchu,Machu Picchu,36-45,Corta(1-4h),Alto,Normal,Media,Excelente,Alta
"History, Nature, Architecture",False,Taj Mahal,Eiffel Tower,36-45,Corta(1-4h),Medio,Lento,Media,Buena,Media
Art,False,Eiffel Tower,"Great Wall of China, Machu Picchu",26-35,Corta(1-4h),Bajo,Normal,Baja,Buena,Media
Cultural,False,Machu Picchu,"Eiffel Tower, Machu Picchu",36-45,Larga(8-10h),Bajo,Rápido,Alta,Buena,Media
"Nature, Architecture",False,Taj Mahal,"Taj Mahal, Colosseum",36-45,Media(5-7h),Alto,Lento,Media,Buena,Alta
Architecture,True,Great Wall of China,"Taj Mahal, Great Wall of China, Colosseum",18-25,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Nature, Art, History",False,Machu Picchu,Eiffel Tower,26-35,Media(5-7h),Alto,Lento,Media,Excelente,Alta
Cultural,True,Great Wall of China,"Taj Mahal, Machu Picchu",46-55,Larga(8-10h),Bajo,Rápido,Media,Excelente,Media
"Cultural, Art, Architecture",True,Machu Picchu,Eiffel Tower,56+,Media(5-7h),Alto,Rápido,Media,Buena,Alta
"Nature, Architecture, Cultural",True,Machu Picchu,"Taj Mahal, Colosseum",26-35,Media(5-7h),Alto,Rápido,Alta,Buena,Alta
Architecture,True,Great Wall of China,"Eiffel Tower, Taj Mahal",18-25,Corta(1-4h),Medio,Lento,Media,Buena,Media
"Art, Nature, History",True,Taj Mahal,"Great Wall of China, Colosseum",26-35,Media(5-7h),Medio,Rápido,Media,Excelente,Media
"Nature, Cultural, Architecture",False,Colosseum,Great Wall of China,46-55,Media(5-7h),Alto,Normal,Media,Excelente,Alta
"History, Architecture, Cultural",False,Machu Picchu,"Taj Mahal, Eiffel Tower, Machu Picchu",56+,Media(5-7h),Medio,Normal,Media,Excelente,Media
Nature,True,Great Wall of China,"Colosseum, Eiffel Tower, Machu Picchu",56+,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Architecture, Art",True,Great Wall of China,Eiffel Tower,56+,Media(5-7h),Bajo,Lento,Media,Excelente,Media
"Nature, Art",False,Eiffel Tower,"Eiffel Tower, Great Wall of China",46-55,Larga(8-10h),Alto,Lento,Alta,Buena,Alta
"History, Nature",False,Great Wall of China,"Great Wall of China, Colosseum",36-45,Media(5-7h),Medio,Rápido,Media,Excelente,Media
Cultural,True,Eiffel Tower,"Machu Picchu, Taj Mahal, Great Wall of China",46-55,Corta(1-4h),Medio,Lento,Media,Buena,Media
"History, Art, Nature",True,Machu Picchu,"Colosseum, Eiffel Tower",26-35,Media(5-7h),Bajo,Lento,Media,Excelente,Media
Architecture,True,Taj Mahal,"Machu Picchu, Eiffel Tower",56+,Larga(8-10h),Medio,Lento,Media,Buena,Alta
"Nature, History, Cultural",False,Machu Picchu,"Taj Mahal, Great Wall of China, Machu Picchu",26-35,Larga(8-10h),Medio,Rápido,Media,Excelente,Media
"Nature, Architecture, Art",False,Taj Mahal,"Eiffel Tower, Colosseum",18-25,Corta(1-4h),Alto,Lento,Media,Regular,Alta
"Nature, Cultural",False,Taj Mahal,"Machu Picchu, Colosseum, Taj Mahal",46-55,Media(5-7h),Alto,Lento,Media,Buena,Alta
Cultural,False,Eiffel Tower,Taj Mahal,56+,Corta(1-4h),Medio,Lento,Alta,Regular,Media
"Cultural, History",True,Colosseum,Taj Mahal,36-45,Media(5-7h),Alto,Normal,Media,Buena,Alta
"Art, Architecture",False,Taj Mahal,Great Wall of China,18-25,Media(5-7h),Alto,Lento,Baja,Buena,Alta
"Architecture, Cultural, History",True,Machu Picchu,"Taj Mahal, Eiffel Tower",46-55,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Nature, Cultural",False,Eiffel Tower,"Colosseum, Eiffel Tower",26-35,Media(5-7h),Bajo,Lento,Media,Buena,Media
"History, Nature",False,Taj Mahal,"Eiffel Tower, Taj Mahal",36-45,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Cultural, Art",False,Machu Picchu,"Eiffel Tower, Taj Mahal",26-35,Corta(1-4h),Alto,Lento,Media,Buena,Alta
"Art, Architecture",True,Taj Mahal,"Great Wall of China, Machu Picchu, Colosseum",56+,Corta(1-4h),Medio,Lento,Media,Buena,Media
"History, Cultural",False,Colosseum,"Eiffel Tower, Taj Mahal",46-55,Larga(8-10h),Alto,Normal,Media,Buena,Alta
Cultural,False,Taj Mahal,"Machu Picchu, Eiffel Tower, Great Wall of China",36-45,Corta(1-4h),Alto,Rápido,Alta,Buena,Alta
Nature,True,Eiffel Tower,"Taj Mahal, Great Wall of China",46-55,Larga(8-10h),Alto,Lento,Alta,Excelente,Alta
"Architecture, History",False,Taj Mahal,"Great Wall of China, Eiffel Tower",26-35,Corta(1-4h),Alto,Lento,Alta,Excelente,Alta
"Art, History",False,Eiffel Tower,"Colosseum, Eiffel Tower",56+,Media(5-7h),Alto,Normal,Alta,Excelente,Alta
Architecture,False,Taj Mahal,"Taj Mahal, Colosseum",56+,Media(5-7h),Alto,Normal,Alta,Excelente,Alta
Nature,False,Great Wall of China,"Great Wall of China, Machu Picchu, Taj Mahal",36-45,Corta(1-4h),Bajo,Lento,Media,Buena,Media
"Cultural, Art, Nature",True,Eiffel Tower,Colosseum,36-45,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Cultural, History",False,Colosseum,"Great Wall of China, Taj Mahal",46-55,Media(5-7h),Medio,Normal,Media,Regular,Media
"History, Architecture, Cultural",True,Taj Mahal,Taj Mahal,26-35,Media(5-7h),Bajo,Normal,Alta,Excelente,Media
"Cultural, Art, Nature",True,Colosseum,"Colosseum, Taj Mahal, Eiffel Tower",18-25,Media(5-7h),Alto,Lento,Alta,Excelente,Alta
"History, Cultural",False,Machu Picchu,"Eiffel Tower, Taj Mahal, Colosseum",46-55,Media(5-7h),Bajo,Lento,Media,Excelente,Media
History,False,Great Wall of China,"Machu Picchu, Eiffel Tower",46-55,Corta(1-4h),Alto,Rápido,Media,Excelente,Alta
"Nature, History, Architecture",True,Taj Mahal,Machu Picchu,56+,Media(5-7h),Bajo,Normal,Media,Excelente,Media
History,True,Taj Mahal,"Taj Mahal, Machu Picchu, Great Wall of China",36-45,Corta(1-4h),Alto,Normal,Media,Excelente,Alta
"Architecture, Cultural",True,Taj Mahal,"Great Wall of China, Eiffel Tower",26-35,Media(5-7h),Medio,Rápido,Media,Excelente,Media
History,False,Taj Mahal,"Eiffel Tower, Colosseum",56+,Larga(8-10h),Medio,Lento,Media,Excelente,Media
"Architecture, Cultural",True,Machu Picchu,Colosseum,56+,Corta(1-4h),Medio,Lento,Media,Buena,Media
"Art, Architecture, History",False,Taj Mahal,"Taj Mahal, Eiffel Tower",56+,Media(5-7h),Medio,Lento,Media,Excelente,Media
Art,True,Eiffel Tower,"Taj Mahal, Great Wall of China, Machu Picchu",56+,Corta(1-4h),Bajo,Lento,Media,Excelente,Media
"Nature, Architecture, Art",True,Colosseum,Taj Mahal,26-35,Media(5-7h),Medio,Rápido,Media,Excelente,Media
History,True,Great Wall of China,"Great Wall of China, Taj Mahal, Eiffel Tower",36-45,Media(5-7h),Alto,Normal,Media,Buena,Alta
"Art, Nature",False,Taj Mahal,"Colosseum, Taj Mahal, Machu Picchu",26-35,Corta(1-4h),Medio,Rápido,Alta,Excelente,Media
"History, Nature, Art",False,Great Wall of China,"Machu Picchu, Colosseum",26-35,Larga(8-10h),Alto,Lento,Media,Buena,Alta
"Nature, Architecture",False,Colosseum,"Taj Mahal, Colosseum",36-45,Corta(1-4h),Alto,Lento,Media,Excelente,Alta
"Art, History, Architecture",False,Great Wall of China,Eiffel Tower,36-45,Media(5-7h),Bajo,Lento,Alta,Buena,Media
Architecture,True,Eiffel Tower,Great Wall of China,36-45,Media(5-7h),Alto,Rápido,Alta,Buena,Alta
"Nature, History",True,Great Wall of China,"Eiffel Tower, Great Wall of China, Colosseum",26-35,Media(5-7h),Alto,Normal,Alta,Buena,Alta
"Cultural, Art, History",True,Machu Picchu,"Taj Mahal, Colosseum, Machu Picchu",18-25,Corta(1-4h),Bajo,Normal,Media,Excelente,Media
Nature,True,Machu Picchu,Great Wall of China,56+,Corta(1-4h),Alto,Normal,Alta,Excelente,Alta
"Cultural, Architecture",True,Machu Picchu,"Taj Mahal, Colosseum, Machu Picchu",46-55,Corta(1-4h),Medio,Normal,Media,Excelente,Media
Nature,True,Taj Mahal,"Machu Picchu, Eiffel Tower",26-35,Corta(1-4h),Alto,Rápido,Alta,Buena,Alta
"Nature, Architecture",False,Colosseum,Taj Mahal,36-45,Larga(8-10h),Alto,Normal,Media,Buena,Alta
Art,False,Machu Picchu,"Great Wall of China, Machu Picchu, Eiffel Tower",56+,Larga(8-10h),Medio,Normal,Media,Excelente,Alta
Nature,True,Great Wall of China,Taj Mahal,56+,Corta(1-4h),Bajo,Rápido,Media,Buena,Media
Cultural,True,Great Wall of China,Colosseum,26-35,Media(5-7h),Alto,Normal,Alta,Excelente,Alta
"History, Nature",True,Colosseum,Colosseum,46-55,Media(5-7h),Medio,Normal,Alta,Buena,Media
"Architecture, History, Art",True,Colosseum,Taj Mahal,46-55,Corta(1-4h),Medio,Normal,Alta,Buena,Media
"Architecture, Cultural",False,Machu Picchu,"Colosseum, Great Wall of China",46-55,Larga(8-10h),Bajo,Lento,Alta,Regular,Media
Nature,True,Eiffel Tower,Great Wall of China,36-45,Larga(8-10h),Alto,Normal,Media,Excelente,Alta
Architecture,False,Eiffel Tower,"Colosseum, Taj Mahal",56+,Larga(8-10h),Alto,Lento,Alta,Excelente,Alta
History,True,Colosseum,"Colosseum, Machu Picchu, Taj Mahal",18-25,Media(5-7h),Bajo,Lento,Media,Buena,Media
Nature,False,Taj Mahal,"Colosseum, Eiffel Tower",46-55,Media(5-7h),Bajo,Rápido,Alta,Buena,Media
"History, Nature, Architecture",False,Taj Mahal,Great Wall of China,36-45,Media(5-7h),Bajo,Lento,Alta,Excelente,Media
"History, Architecture, Cultural",False,Eiffel Tower,Colosseum,56+,Corta(1-4h),Medio,Lento,Alta,Buena,Media
Nature,False,Eiffel Tower,"Taj Mahal, Great Wall of China",56+,Media(5-7h),Medio,Rápido,Media,Buena,Media
"History, Architecture",True,Taj Mahal,Eiffel Tower,18-25,Corta(1-4h),Alto,Lento,Media,Buena,Alta
History,True,Eiffel Tower,Taj Mahal,56+,Corta(1-4h),Alto,Lento,Alta,Buena,Alta
"History, Cultural",False,Great Wall of China,"Colosseum, Machu Picchu, Eiffel Tower",36-45,Larga(8-10h),Medio,Lento,Media,Excelente,Media
"Nature, Architecture, Cultural",True,Great Wall of China,"Great Wall of China, Machu Picchu",46-55,Larga(8-10h),Medio,Lento,Media,Excelente,Media
Cultural,False,Taj Mahal,"Colosseum, Machu Picchu",26-35,Media(5-7h),Medio,Lento,Media,Excelente,Media
"Art, Architecture, Cultural",False,Colosseum,Machu Picchu,46-55,Larga(8-10h),Bajo,Lento,Media,Excelente,Media
"History, Architecture, Nature",True,Eiffel Tower,"Great Wall of China, Colosseum",26-35,Larga(8-10h),Medio,Rápido,Media,Buena,Media
History,True,Taj Mahal,"Machu Picchu, Taj Mahal",18-25,Media(5-7h),Alto,Lento,Media,Buena,Alta
Nature,False,Colosseum,"Colosseum, Great Wall of China",56+,Corta(1-4h),Alto,Normal,Media,Buena,Alta
"Cultural, Architecture, Nature",True,Machu Picchu,Eiffel Tower,56+,Media(5-7h),Bajo,Lento,Media,Buena,Media
Art,True,Colosseum,Eiffel Tower,36-45,Media(5-7h),Medio,Rápido,Media,Buena,Media
"Art, Architecture",False,Machu Picchu,"Great Wall of China, Colosseum, Eiffel Tower",36-45,Larga(8-10h),Alto,Normal,Alta,Buena,Alta
"Art, Nature, History",False,Great Wall of China,Colosseum,26-35,Media(5-7h),Alto,Rápido,Alta,Buena,Alta
"Architecture, Cultural",False,Colosseum,"Machu Picchu, Eiffel Tower, Colosseum",56+,Corta(1-4h),Medio,Lento,Media,Excelente,Media
"Nature, Architecture",False,Taj Mahal,"Colosseum, Machu Picchu, Great Wall of China",26-35,Corta(1-4h),Alto,Normal,Alta,Excelente,Alta
"Architecture, Nature",True,Eiffel Tower,Great Wall of China,46-55,Media(5-7h),Medio,Rápido,Media,Excelente,Media
