antecedents,consequents,support,confidence,lift
"DDR4, Everyday Use, Intel, Thin and Light Laptop",Windows 11 Home,0.054,0.6071,1.5617
Core i3,"DDR4, Intel, Processing & Multitasking",0.1663,0.7548,1.5592
"8 GB, Core i3","DDR4, Intel",0.1684,0.9578,1.559
"Core i3, Processing & Multitasking","DDR4, Intel",0.1663,0.9573,1.5581
"8 GB, Core i3, Everyday Use","DDR4, Intel",0.071,0.9571,1.5578
"8 GB, Core i5","DDR4, Intel, Thin and Light Laptop",0.107,0.5127,1.5562
"Core i3, Processing & Multitasking","8 GB, Thin and Light Laptop",0.09,0.5183,1.5532
"Core i3, Intel, Processing & Multitasking","8 GB, Thin and Light Laptop",0.09,0.5183,1.5532
"DDR4, Thin and Light Laptop, Windows 10 Home","8 GB, Processing & Multitasking",0.1335,0.7039,1.5526
"Core i5, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.071,0.7976,1.5525
"Core i5, Intel, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.071,0.7976,1.5525
"8 GB, Core i5, DDR4, Windows 10 Home","Intel, Processing & Multitasking, Thin and Light Laptop",0.0583,0.5392,1.5519
"Core i3, Thin and Light Laptop, Windows 11 Home","DDR4, Intel",0.0646,0.9531,1.5513
"16 GB, Core i5, DDR4","Intel, Processing & Multitasking",0.0657,0.8857,1.5512
"Core i5, Windows 10 Home","Intel, Processing & Multitasking",0.1314,0.8857,1.5512
"Core i3, Intel, Processing & Multitasking, Windows 10 Home","DDR4, Thin and Light Laptop",0.0519,0.6901,1.5475
"Core i3, Processing & Multitasking, Windows 10 Home","DDR4, Thin and Light Laptop",0.0519,0.6901,1.5475
"Core i3, DDR4","Intel, Processing & Multitasking, Thin and Light Laptop",0.1144,0.5373,1.5464
"8 GB, Core i5, Windows 10 Home","DDR4, Intel, Thin and Light Laptop",0.0583,0.5093,1.5458
"Core i3, Windows 10 Home","Intel, Thin and Light Laptop",0.053,0.5952,1.5437
"Core i3, DDR4, Windows 10 Home","Intel, Thin and Light Laptop",0.053,0.5952,1.5437
"DDR4, Gaming, Gaming Laptop, Intel",Windows 10 Home,0.0731,0.697,1.5408
"8 GB, Core i5, Windows 10 Home","Intel, Processing & Multitasking",0.1006,0.8796,1.5406
"Core i5, DDR4","Intel, Processing & Multitasking, Thin and Light Laptop",0.1451,0.5352,1.5402
"DDR4, Processing & Multitasking, Transparent Silver",Thin and Light Laptop,0.0561,0.791,1.5397
"Core i5, Windows 10 Home","DDR4, Intel, Thin and Light Laptop",0.0752,0.5071,1.5394
"8 GB, Core i3, Processing & Multitasking","DDR4, Intel",0.1292,0.9457,1.5393
"Core i3, Windows 11 Home",8 GB,0.0858,0.8804,1.5391
"Core i3, Intel, Windows 11 Home",8 GB,0.0858,0.8804,1.5391
"8 GB, Core i3, Thin and Light Laptop, Windows 11 Home","DDR4, Intel",0.0551,0.9455,1.5388
Core i5,"DDR4, Intel, Thin and Light Laptop",0.1557,0.5069,1.5386
Core i5,"DDR4, Intel, Processing & Multitasking",0.2288,0.7448,1.5385
"8 GB, Core i5, Windows 10 Home","DDR4, Intel",0.1081,0.9444,1.5372
Core i3,"Intel, Processing & Multitasking, Thin and Light Laptop",0.1176,0.5337,1.5359
"Core i5, DDR4, Windows 10 Home","Intel, Processing & Multitasking",0.1208,0.8769,1.5358
"Core i3, Processing & Multitasking, Thin and Light Laptop, Windows 11 Home","DDR4, Intel",0.053,0.9434,1.5355
"Core i3, Intel, Windows 11 Home","8 GB, Processing & Multitasking",0.0678,0.6957,1.5343
"Core i3, Windows 11 Home","8 GB, Processing & Multitasking",0.0678,0.6957,1.5343
"Core i3, Everyday Use, Thin and Light Laptop","DDR4, Intel",0.0519,0.9423,1.5337
"Core i5, DDR4, Thin and Light Laptop, Windows 11 Home","Intel, Processing & Multitasking",0.0519,0.875,1.5325
"Core i5, Everyday Use","DDR4, Intel",0.0508,0.9412,1.5318
"Gaming, Gaming Laptop, Intel","DDR4, Windows 10 Home",0.0731,0.633,1.5283
"8 GB, Core i5, DDR4, Windows 10 Home","Intel, Processing & Multitasking",0.0943,0.8725,1.5282
"Core i5, Processing & Multitasking, Thin and Light Laptop","8 GB, Intel",0.1102,0.6303,1.5257
"8 GB, Core i5, Processing & Multitasking, Windows 10 Home","DDR4, Intel",0.0943,0.9368,1.5248
"Core i3, DDR4, Intel, Windows 11 Home",8 GB,0.0784,0.8706,1.5219
"Core i3, DDR4, Windows 11 Home",8 GB,0.0784,0.8706,1.5219
"Core i3, DDR4","8 GB, Thin and Light Laptop",0.1081,0.5075,1.5208
"Core i3, DDR4, Intel","8 GB, Thin and Light Laptop",0.1081,0.5075,1.5208
"8 GB, Core i5","Intel, Processing & Multitasking, Thin and Light Laptop",0.1102,0.5279,1.5194
"8 GB, Core i3","DDR4, Intel, Processing & Multitasking",0.1292,0.7349,1.5181
"Gaming, Gaming Laptop","DDR4, Windows 10 Home",0.1271,0.6283,1.5169
"Core i3, Processing & Multitasking, Windows 11 Home","DDR4, Thin and Light Laptop",0.053,0.6757,1.5151
"Core i3, Intel, Processing & Multitasking, Windows 11 Home","DDR4, Thin and Light Laptop",0.053,0.6757,1.5151
"Thin and Light Laptop, Windows 10 Home","8 GB, Intel, Processing & Multitasking",0.1059,0.5,1.5128
Core i3,"8 GB, Thin and Light Laptop",0.1112,0.5048,1.5128
"Core i3, Intel","8 GB, Thin and Light Laptop",0.1112,0.5048,1.5128
"Core i3, Intel, Processing & Multitasking, Windows 11 Home",8 GB,0.0678,0.8649,1.5119
"Core i3, Processing & Multitasking, Windows 11 Home",8 GB,0.0678,0.8649,1.5119
"Core i5, Windows 10 Home","DDR4, Intel",0.1377,0.9286,1.5113
"Core i5, DDR4, Intel, Windows 10 Home","8 GB, Processing & Multitasking",0.0943,0.6846,1.51
"Core i5, DDR4, Windows 10 Home","8 GB, Processing & Multitasking",0.0943,0.6846,1.51
"Core i3, Windows 11 Home","DDR4, Intel, Processing & Multitasking",0.071,0.7283,1.5043
"Core i3, Windows 11 Home","DDR4, Intel",0.09,0.9239,1.5037
"Everyday Use, Thin and Light Laptop","8 GB, Intel",0.0763,0.6207,1.5024
"Core i3, Intel, Thin and Light Laptop, Windows 11 Home",8 GB,0.0583,0.8594,1.5023
"Core i3, Thin and Light Laptop, Windows 11 Home",8 GB,0.0583,0.8594,1.5023
"DDR4, Everyday Use, Thin and Light Laptop","8 GB, Intel",0.071,0.6204,1.5016
"AMD, Gaming, Gaming Laptop","DDR4, Windows 10 Home",0.054,0.622,1.5016
"Core i5, DDR4, Windows 11 Home","8 GB, Intel",0.0519,0.6203,1.5013
"Intel, Thin and Light Laptop, Windows 10 Home","8 GB, DDR4, Processing & Multitasking",0.1006,0.6376,1.5009
"DDR4, Gaming, Gaming Laptop",Windows 10 Home,0.1271,0.678,1.4988
"Core i3, Thin and Light Laptop, Windows 11 Home","8 GB, DDR4",0.0551,0.8125,1.498
"Core i3, Intel, Thin and Light Laptop, Windows 11 Home","8 GB, DDR4",0.0551,0.8125,1.498
Core i5,"Intel, Processing & Multitasking",0.2627,0.8552,1.4977
"Core i5, Windows 10 Home","8 GB, Processing & Multitasking",0.1006,0.6786,1.4967
"Core i5, Intel, Windows 10 Home","8 GB, Processing & Multitasking",0.1006,0.6786,1.4967
"Core i5, Intel, Windows 10 Home","8 GB, DDR4, Processing & Multitasking",0.0943,0.6357,1.4965
"Core i5, Windows 10 Home","8 GB, DDR4, Processing & Multitasking",0.0943,0.6357,1.4965
"Core i5, Processing & Multitasking, Windows 10 Home","DDR4, Intel",0.1208,0.9194,1.4963
"8 GB, Core i5","DDR4, Intel",0.1917,0.9188,1.4954
"DDR4, Gaming Laptop, Intel",Windows 10 Home,0.0773,0.6759,1.4943
"8 GB, Core i5, Thin and Light Laptop, Windows 10 Home","DDR4, Intel",0.0583,0.9167,1.492
"8 GB, Core i5, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home","DDR4, Intel",0.0583,0.9167,1.492
"Core i5, DDR4, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.0519,0.7656,1.4902
"Core i3, DDR4, Intel, Thin and Light Laptop, Windows 11 Home",8 GB,0.0551,0.8525,1.4902
"Core i3, DDR4, Thin and Light Laptop, Windows 11 Home",8 GB,0.0551,0.8525,1.4902
"Core i5, DDR4, Intel, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.0519,0.7656,1.4902
"Everyday Use, Thin and Light Laptop","8 GB, DDR4, Intel",0.071,0.5776,1.4897
"Core i5, DDR4","Intel, Thin and Light Laptop",0.1557,0.5742,1.4892
"Core i5, Thin and Light Laptop","8 GB, DDR4, Intel",0.107,0.5771,1.4886
"Core i3, Everyday Use, Intel","8 GB, DDR4",0.071,0.8072,1.4883
"Core i3, Everyday Use","8 GB, DDR4",0.071,0.8072,1.4883
"8 GB, Core i5","Intel, Thin and Light Laptop",0.1197,0.5736,1.4876
"DDR4, Gaming, Intel",Windows 10 Home,0.0763,0.6729,1.4876
"Core i3, DDR4, Processing & Multitasking, Windows 11 Home",8 GB,0.0604,0.8507,1.4872
"Core i3, DDR4, Intel, Processing & Multitasking, Windows 11 Home",8 GB,0.0604,0.8507,1.4872
"8 GB, Core i3, Windows 11 Home","DDR4, Intel",0.0784,0.9136,1.4869
"Core i3, Intel, Windows 11 Home","DDR4, Thin and Light Laptop",0.0646,0.663,1.4867
"Core i3, Windows 11 Home","DDR4, Thin and Light Laptop",0.0646,0.663,1.4867
"Gaming, Intel","DDR4, Windows 10 Home",0.0763,0.6154,1.4857
"8 GB, Processing & Multitasking, Windows 11 Home","DDR4, Thin and Light Laptop",0.1081,0.6623,1.4851
"8 GB, Core i3, DDR4","Intel, Processing & Multitasking, Thin and Light Laptop",0.0869,0.5157,1.4843
"8 GB, Core i3, Windows 10 Home","Intel, Processing & Multitasking",0.053,0.8475,1.4842
"8 GB, Core i3, DDR4, Windows 10 Home","Intel, Processing & Multitasking",0.053,0.8475,1.4842
"Thin and Light Laptop, Windows 10 Home","8 GB, DDR4, Processing & Multitasking",0.1335,0.63,1.4831
"Core i3, Intel, Windows 11 Home","8 GB, DDR4",0.0784,0.8043,1.483
"Core i3, Windows 11 Home","8 GB, DDR4",0.0784,0.8043,1.483
"Core i5, Windows 10 Home","Intel, Thin and Light Laptop",0.0847,0.5714,1.4819
"8 GB, Core i5, Processing & Multitasking","DDR4, Intel",0.16,0.9096,1.4805
"DDR4, Transparent Silver",Thin and Light Laptop,0.0572,0.7606,1.4804
"Core i3, Windows 10 Home","Intel, Processing & Multitasking",0.0752,0.8452,1.4803
"Core i3, DDR4, Windows 10 Home","Intel, Processing & Multitasking",0.0752,0.8452,1.4803
"Intel, Thin and Light Laptop, Windows 10 Home","8 GB, Processing & Multitasking",0.1059,0.6711,1.4803
"Core i3, DDR4, Intel, Windows 11 Home","8 GB, Processing & Multitasking",0.0604,0.6706,1.4791
"Core i3, DDR4, Windows 11 Home","8 GB, Processing & Multitasking",0.0604,0.6706,1.4791
"Everyday Use, Intel, Processing & Multitasking",Windows 11 Home,0.053,0.5747,1.4783
"DDR4, Gaming",Windows 10 Home,0.1324,0.6684,1.4778
"Core i5, DDR4","Intel, Processing & Multitasking",0.2288,0.8438,1.4777
"8 GB, Everyday Use, Windows 11 Home",Thin and Light Laptop,0.0667,0.759,1.4774
Transparent Silver,"Processing & Multitasking, Thin and Light Laptop",0.0561,0.6883,1.4767
"Core i3, Processing & Multitasking","DDR4, Thin and Light Laptop",0.1144,0.6585,1.4766
"Core i3, Intel, Processing & Multitasking","DDR4, Thin and Light Laptop",0.1144,0.6585,1.4766
"8 GB, Core i5","Intel, Processing & Multitasking",0.1758,0.8426,1.4758
"Core i3, Everyday Use",8 GB,0.0742,0.8434,1.4743
"Core i3, Everyday Use, Intel",8 GB,0.0742,0.8434,1.4743
"AMD, Gaming",Windows 10 Home,0.0657,0.6667,1.4738
"8 GB, Core i3","Intel, Processing & Multitasking, Thin and Light Laptop",0.09,0.512,1.4737
"Core i3, Processing & Multitasking, Windows 11 Home","DDR4, Intel",0.071,0.9054,1.4736
"Core i3, Thin and Light Laptop","Intel, Processing & Multitasking",0.1176,0.8409,1.4728
"Core i5, Windows 11 Home","Intel, Processing & Multitasking",0.089,0.84,1.4712
"DDR4, Everyday Use, Thin and Light Laptop, Windows 11 Home",8 GB,0.0614,0.8406,1.4695
"Gaming Laptop, Intel","DDR4, Windows 10 Home",0.0773,0.6083,1.4687
"Everyday Use, Processing & Multitasking",Windows 11 Home,0.0731,0.5702,1.4668
"Thin and Light Laptop, Windows 10 Home","8 GB, Processing & Multitasking",0.1409,0.665,1.4667
"Core i3, DDR4, Thin and Light Laptop","Intel, Processing & Multitasking",0.1144,0.8372,1.4663
"AMD, DDR4, Gaming",Windows 10 Home,0.0561,0.6625,1.4646
"Core i3, Windows 10 Home","DDR4, Processing & Multitasking, Thin and Light Laptop",0.0519,0.5833,1.4645
"Core i3, Intel, Windows 10 Home","DDR4, Processing & Multitasking, Thin and Light Laptop",0.0519,0.5833,1.4645
"Core i3, DDR4, Everyday Use, Intel",8 GB,0.071,0.8375,1.4641
"Core i3, DDR4, Everyday Use",8 GB,0.071,0.8375,1.4641
"8 GB, Core i5, DDR4","Intel, Processing & Multitasking, Thin and Light Laptop",0.0975,0.5083,1.4629
"Core i3, Intel, Thin and Light Laptop","8 GB, DDR4, Processing & Multitasking",0.0869,0.6212,1.4624
"Core i3, Thin and Light Laptop","8 GB, DDR4, Processing & Multitasking",0.0869,0.6212,1.4624
"8 GB, Everyday Use, Processing & Multitasking",Windows 11 Home,0.053,0.5682,1.4615
"8 GB, Core i5, DDR4","Intel, Processing & Multitasking",0.16,0.8343,1.4611
"8 GB, DDR4, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.1081,0.75,1.4598
"Core i3, Intel, Windows 11 Home","8 GB, DDR4, Processing & Multitasking",0.0604,0.6196,1.4585
"Core i3, Windows 11 Home","8 GB, DDR4, Processing & Multitasking",0.0604,0.6196,1.4585
"DDR4, Gaming Laptop",Windows 10 Home,0.1335,0.6597,1.4584
Gaming Laptop,"DDR4, Windows 10 Home",0.1335,0.6029,1.4555
"Natural Silver, Thin and Light Laptop","DDR4, Processing & Multitasking",0.0583,0.9821,1.4555
"16 GB, Core i5","DDR4, Intel, Processing & Multitasking",0.0657,0.7045,1.4553
"8 GB, DDR4, Intel, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.0784,0.7475,1.4549
"8 GB, Core i5, Thin and Light Laptop","DDR4, Intel",0.107,0.8938,1.4547
"Thin and Light Laptop, Transparent Silver","DDR4, Processing & Multitasking",0.0561,0.9815,1.4545
"16 GB, Core i5, Intel, Processing & Multitasking",Thin and Light Laptop,0.0625,0.7468,1.4536
"8 GB, Core i3, Windows 11 Home","DDR4, Intel, Processing & Multitasking",0.0604,0.7037,1.4536
"16 GB, Core i5, Processing & Multitasking",Thin and Light Laptop,0.0625,0.7468,1.4536
"Core i3, DDR4, Intel, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.053,0.7463,1.4525
"Core i3, DDR4, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.053,0.7463,1.4525
"Core i3, Intel, Thin and Light Laptop, Windows 10 Home","DDR4, Processing & Multitasking",0.0519,0.98,1.4523
"Core i3, Thin and Light Laptop, Windows 10 Home","DDR4, Processing & Multitasking",0.0519,0.98,1.4523
"8 GB, Core i5, DDR4, Thin and Light Laptop","Processing & Multitasking, Windows 10 Home",0.0583,0.5446,1.4521
"8 GB, Core i5, DDR4, Intel, Thin and Light Laptop","Processing & Multitasking, Windows 10 Home",0.0583,0.5446,1.4521
"Core i3, Thin and Light Laptop, Windows 11 Home","Intel, Processing & Multitasking",0.0561,0.8281,1.4504
"8 GB, Core i3, Processing & Multitasking, Windows 11 Home","DDR4, Intel",0.0604,0.8906,1.4496
"Everyday Use, Thin and Light Laptop, Windows 11 Home",8 GB,0.0667,0.8289,1.4491
LPDDR4X,"Processing & Multitasking, Thin and Light Laptop",0.0572,0.675,1.4482
"8 GB, DDR4, Everyday Use, Windows 11 Home",Thin and Light Laptop,0.0614,0.7436,1.4473
"8 GB, Core i5, DDR4","Intel, Thin and Light Laptop",0.107,0.558,1.4471
"AMD, DDR4, Gaming, Gaming Laptop",Windows 10 Home,0.054,0.6538,1.4455
"Core i5, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home","DDR4, Intel",0.0752,0.8875,1.4445
"Core i5, Thin and Light Laptop, Windows 10 Home","DDR4, Intel",0.0752,0.8875,1.4445
"8 GB, Thin and Light Laptop, Windows 10 Home","DDR4, Intel, Processing & Multitasking",0.1006,0.6985,1.4429
"8 GB, Core i5, Windows 10 Home","Intel, Thin and Light Laptop",0.0636,0.5556,1.4408
"Core i5, Intel, Windows 11 Home",Thin and Light Laptop,0.0784,0.74,1.4403
"Core i5, Windows 11 Home",Thin and Light Laptop,0.0784,0.74,1.4403
"8 GB, Core i5, Processing & Multitasking, Thin and Light Laptop","DDR4, Intel",0.0975,0.8846,1.4398
"8 GB, Core i3, Intel, Windows 11 Home","DDR4, Thin and Light Laptop",0.0551,0.642,1.4395
"8 GB, Core i3, Windows 11 Home","DDR4, Thin and Light Laptop",0.0551,0.642,1.4395
"16 GB, Core i5","Processing & Multitasking, Thin and Light Laptop",0.0625,0.6705,1.4384
"16 GB, Core i5, Intel","Processing & Multitasking, Thin and Light Laptop",0.0625,0.6705,1.4384
"Core i5, Processing & Multitasking, Thin and Light Laptop","8 GB, DDR4, Intel",0.0975,0.5576,1.4381
"AMD, Gaming Laptop","DDR4, Windows 10 Home",0.0561,0.5955,1.4377
"Core i5, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.071,0.67,1.4375
"Core i5, Intel, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.071,0.67,1.4375
Gaming,"DDR4, Windows 10 Home",0.1324,0.5952,1.4371
Core i5,"DDR4, Intel",0.2712,0.8828,1.4368
"Core i3, DDR4, Thin and Light Laptop, Windows 11 Home","Intel, Processing & Multitasking",0.053,0.8197,1.4356
"8 GB, Intel, Processing & Multitasking, Windows 11 Home","DDR4, Thin and Light Laptop",0.0784,0.6379,1.4304
"8 GB, Core i3, Processing & Multitasking","DDR4, Thin and Light Laptop",0.0869,0.6357,1.4253
"8 GB, Core i3, Intel, Processing & Multitasking","DDR4, Thin and Light Laptop",0.0869,0.6357,1.4253
"Core i3, Thin and Light Laptop","8 GB, DDR4",0.1081,0.7727,1.4247
"Core i3, Intel, Thin and Light Laptop","8 GB, DDR4",0.1081,0.7727,1.4247
"DDR4, Everyday Use, Thin and Light Laptop",8 GB,0.0932,0.8148,1.4244
"8 GB, Intel, Windows 11 Home","DDR4, Thin and Light Laptop",0.0996,0.6351,1.4242
"Core i7, Gaming Laptop","DDR4, Intel",0.0519,0.875,1.4241
"AMD, DDR4, Ryzen 5 Hexa Core",8 GB,0.0689,0.8125,1.4204
"DDR4, Ryzen 5 Hexa Core",8 GB,0.0689,0.8125,1.4204
"Core i3, Thin and Light Laptop","8 GB, Processing & Multitasking",0.09,0.6439,1.4203
"Core i3, Intel, Thin and Light Laptop","8 GB, Processing & Multitasking",0.09,0.6439,1.4203
"Core i3, Processing & Multitasking, Windows 11 Home","8 GB, DDR4",0.0604,0.7703,1.4202
"Core i3, Intel, Processing & Multitasking, Windows 11 Home","8 GB, DDR4",0.0604,0.7703,1.4202
"8 GB, Windows 11 Home","DDR4, Thin and Light Laptop",0.1335,0.6332,1.4197
"Core i5, DDR4, Windows 11 Home","Intel, Processing & Multitasking",0.0678,0.8101,1.4188
"8 GB, Core i3, Thin and Light Laptop","Intel, Processing & Multitasking",0.09,0.8095,1.4178
"Core i5, Processing & Multitasking","DDR4, Intel",0.2288,0.871,1.4176
"Everyday Use, Thin and Light Laptop",8 GB,0.0996,0.8103,1.4166
"Core i5, DDR4, Windows 10 Home","Intel, Thin and Light Laptop",0.0752,0.5462,1.4164
"8 GB, Core i5, Thin and Light Laptop","Processing & Multitasking, Windows 10 Home",0.0636,0.531,1.4159
"8 GB, Core i5, Intel, Thin and Light Laptop","Processing & Multitasking, Windows 10 Home",0.0636,0.531,1.4159
"8 GB, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.1186,0.7273,1.4156
"8 GB, Processing & Multitasking, Windows 11 Home","Intel, Thin and Light Laptop",0.089,0.5455,1.4146
"Processing & Multitasking, Transparent Silver",Thin and Light Laptop,0.0561,0.726,1.4131
"AMD, DDR4, Gaming Laptop",Windows 10 Home,0.0561,0.6386,1.4117
"DDR4, Everyday Use, Processing & Multitasking",Windows 11 Home,0.0657,0.5487,1.4113
"8 GB, DDR4, Processing & Multitasking, Windows 11 Home","Intel, Thin and Light Laptop",0.0784,0.5441,1.4111
Gaming,Windows 10 Home,0.1419,0.6381,1.4107
"Everyday Use, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.053,0.7246,1.4104
"8 GB, Intel, Processing & Multitasking, Windows 11 Home",Thin and Light Laptop,0.089,0.7241,1.4095
Core i3,"8 GB, DDR4",0.1684,0.7644,1.4094
"Core i3, Intel","8 GB, DDR4",0.1684,0.7644,1.4094
"Core i3, Windows 11 Home","Intel, Processing & Multitasking",0.0784,0.8043,1.4087
"8 GB, Core i3, DDR4, Thin and Light Laptop","Intel, Processing & Multitasking",0.0869,0.8039,1.408
"Everyday Use, Thin and Light Laptop, Windows 11 Home","8 GB, DDR4",0.0614,0.7632,1.4071
"Core i7, DDR4, Intel",Windows 10 Home,0.0519,0.6364,1.4069
"Core i7, DDR4",Windows 10 Home,0.0519,0.6364,1.4069
"Everyday Use, Windows 11 Home","DDR4, Thin and Light Laptop",0.0731,0.6273,1.4065
"Core i5, Windows 11 Home","8 GB, Intel",0.0614,0.58,1.4039
"AMD, DDR4, Thin and Light Laptop","8 GB, Processing & Multitasking",0.0667,0.6364,1.4036
"Core i5, DDR4, Thin and Light Laptop",Intel,0.1557,1.0,1.4027
"Core i5, DDR4, Thin and Light Laptop, Windows 10 Home",Intel,0.0752,1.0,1.4027
"Core i7, Gaming",Intel,0.0519,1.0,1.4027
"Core i3, DDR4, Windows 11 Home",Intel,0.09,1.0,1.4027
"Core i5, DDR4, Windows 11 Home",Intel,0.0837,1.0,1.4027
"Core i3, Processing & Multitasking, Thin and Light Laptop, Windows 11 Home",Intel,0.0561,1.0,1.4027
"Core i5, Thin and Light Laptop, Windows 11 Home",Intel,0.0784,1.0,1.4027
"Core i7, DDR4, Gaming Laptop",Intel,0.0519,1.0,1.4027
"Core i3, Processing & Multitasking, Thin and Light Laptop",Intel,0.1176,1.0,1.4027
"8 GB, Core i5, DDR4, Processing & Multitasking, Thin and Light Laptop",Intel,0.0975,1.0,1.4027
"8 GB, Core i3, DDR4, Processing & Multitasking, Windows 10 Home",Intel,0.053,1.0,1.4027
"Core i3, Thin and Light Laptop, Windows 10 Home",Intel,0.053,1.0,1.4027
"Core i3, Thin and Light Laptop",Intel,0.1398,1.0,1.4027
"8 GB, Core i5, DDR4, Windows 11 Home",Intel,0.0519,1.0,1.4027
"Core i3, DDR4, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home",Intel,0.0519,1.0,1.4027
"Core i3, DDR4, Processing & Multitasking, Thin and Light Laptop",Intel,0.1144,1.0,1.4027
"Core i5, DDR4, Processing & Multitasking, Windows 11 Home",Intel,0.0678,1.0,1.4027
"Core i5, DDR4, Processing & Multitasking, Thin and Light Laptop",Intel,0.1451,1.0,1.4027
"8 GB, Core i3, DDR4, Processing & Multitasking",Intel,0.1292,1.0,1.4027
"Core i5, Gaming",Intel,0.0561,1.0,1.4027
"8 GB, Core i3, Thin and Light Laptop",Intel,0.1112,1.0,1.4027
"Core i3, Everyday Use",Intel,0.0879,1.0,1.4027
"8 GB, Core i3, Everyday Use",Intel,0.0742,1.0,1.4027
Core i7,Intel,0.1165,1.0,1.4027
"Core i7, Windows 10 Home",Intel,0.0636,1.0,1.4027
"8 GB, Core i5, Thin and Light Laptop, Windows 10 Home",Intel,0.0636,1.0,1.4027
"8 GB, Core i5, Thin and Light Laptop",Intel,0.1197,1.0,1.4027
"Core i5, Thin and Light Laptop",Intel,0.1854,1.0,1.4027
"Core i5, Windows 10 Home",Intel,0.1483,1.0,1.4027
"Core i3, Everyday Use, Thin and Light Laptop",Intel,0.0551,1.0,1.4027
"16 GB, Core i7, Gaming Laptop",Intel,0.0508,1.0,1.4027
"Core i3, Windows 11 Home",Intel,0.0975,1.0,1.4027
"8 GB, Core i3, Windows 11 Home",Intel,0.0858,1.0,1.4027
"8 GB, Core i5, Windows 11 Home",Intel,0.0614,1.0,1.4027
"8 GB, Core i5, Processing & Multitasking, Thin and Light Laptop",Intel,0.1102,1.0,1.4027
"Core i5, Processing & Multitasking, Thin and Light Laptop",Intel,0.1748,1.0,1.4027
"16 GB, Core i5, DDR4, Processing & Multitasking",Intel,0.0657,1.0,1.4027
"Core i5, Everyday Use",Intel,0.054,1.0,1.4027
"Core i3, Processing & Multitasking",Intel,0.1737,1.0,1.4027
"Core i3, Processing & Multitasking, Windows 10 Home",Intel,0.0752,1.0,1.4027
"Core i5, DDR4",Intel,0.2712,1.0,1.4027
"Core i3, DDR4, Everyday Use",Intel,0.0847,1.0,1.4027
"16 GB, Core i7",Intel,0.0975,1.0,1.4027
"16 GB, Core i7, Processing & Multitasking",Intel,0.0731,1.0,1.4027
"Core i3, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home",Intel,0.0519,1.0,1.4027
"8 GB, Core i3, DDR4, Everyday Use",Intel,0.071,1.0,1.4027
"Core i5, DDR4, Everyday Use",Intel,0.0508,1.0,1.4027
"Core i3, DDR4, Processing & Multitasking",Intel,0.1663,1.0,1.4027
"Core i3, DDR4, Processing & Multitasking, Windows 10 Home",Intel,0.0752,1.0,1.4027
"Core i3, DDR4, Thin and Light Laptop, Windows 11 Home",Intel,0.0646,1.0,1.4027
"8 GB, Core i5",Intel,0.2087,1.0,1.4027
Core i5,Intel,0.3072,1.0,1.4027
"8 GB, Core i5, DDR4, Thin and Light Laptop, Windows 10 Home",Intel,0.0583,1.0,1.4027
"Core i5, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home",Intel,0.0847,1.0,1.4027
"Core i5, Processing & Multitasking, Windows 11 Home",Intel,0.089,1.0,1.4027
"Core i7, DDR4, Processing & Multitasking",Intel,0.0572,1.0,1.4027
"8 GB, Core i3, DDR4, Thin and Light Laptop, Windows 11 Home",Intel,0.0551,1.0,1.4027
"Core i7, Gaming, Gaming Laptop",Intel,0.0519,1.0,1.4027
"Core i5, Gaming Laptop",Intel,0.0508,1.0,1.4027
"Core i7, Gaming Laptop",Intel,0.0593,1.0,1.4027
"8 GB, Core i5, Windows 10 Home",Intel,0.1144,1.0,1.4027
"Core i5, Processing & Multitasking, Thin and Light Laptop, Windows 11 Home",Intel,0.071,1.0,1.4027
"16 GB, Core i5",Intel,0.0932,1.0,1.4027
"Core i5, DDR4, Processing & Multitasking, Thin and Light Laptop, Windows 11 Home",Intel,0.0519,1.0,1.4027
"8 GB, Core i5, DDR4, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home",Intel,0.0583,1.0,1.4027
"8 GB, Core i5, DDR4, Processing & Multitasking, Windows 10 Home",Intel,0.0943,1.0,1.4027
"8 GB, Core i3, Processing & Multitasking, Windows 11 Home",Intel,0.0678,1.0,1.4027
"Core i5, Windows 11 Home",Intel,0.1059,1.0,1.4027
"Core i5, DDR4, Processing & Multitasking, Windows 10 Home",Intel,0.1208,1.0,1.4027
"16 GB, Core i5, Thin and Light Laptop",Intel,0.0636,1.0,1.4027
"8 GB, Core i5, DDR4",Intel,0.1917,1.0,1.4027
